Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Bengaluru,26,31.2,56.6,24,253,"2,070",23,35,23,58,31,4,5,47,2,1.52,1,2.52,1.35,2.35
Chennaiyin,25,27.9,43.9,24,253,"2,070",23,30,22,52,28,2,2,48,5,1.3,0.96,2.26,1.22,2.17
East Bengal,32,28.4,45.8,24,264,"2,160",24,24,14,38,22,2,3,74,10,1,0.58,1.58,0.92,1.5
Goa,24,29.2,52,24,264,"2,160",24,40,28,68,37,3,3,49,3,1.67,1.17,2.83,1.54,2.71
Hyderabad FC,26,26.3,47.5,24,264,"2,160",24,22,16,38,21,1,2,46,3,0.92,0.67,1.58,0.87,1.54
Jamshedpur,26,29.4,44.2,24,264,"2,160",24,34,16,50,29,5,5,57,1,1.42,0.67,2.08,1.21,1.87
Kerala Blasters,29,26.9,54.8,24,264,"2,160",24,32,24,56,29,3,3,57,4,1.33,1,2.33,1.21,2.21
Mohammedan,29,27.7,49.4,24,264,"2,160",24,12,6,18,9,3,6,60,2,0.5,0.25,0.75,0.37,0.62
Mohun Bagan,21,29,52.7,24,264,"2,160",24,44,33,77,41,3,3,65,0,1.83,1.37,3.21,1.71,3.08
Mumbai City,28,28.9,56.9,24,264,"2,160",24,28,15,43,24,4,4,45,1,1.17,0.62,1.79,1,1.62
NorthEast Utd,26,29.1,45.9,24,264,"2,160",24,44,28,72,42,2,4,51,4,1.83,1.17,3,1.75,2.92
Odisha,23,29.5,54,24,264,"2,160",24,40,31,71,36,4,5,55,6,1.67,1.29,2.96,1.5,2.79
Punjab,27,27.1,47.1,24,264,"2,160",24,33,23,56,30,3,3,59,3,1.37,0.96,2.33,1.25,2.2
